no	id	skk_key	notation	reading	method	judgment	note
318	954648-483-0042	むしめし	蒸飯	むし-めし	JMdict	o	
319	954645-463-0031	かわりきょうげん	替狂言	かはり-きゃうげん	JMdict	o	
320	954646-048-0033	くみたて	汲立	くみたて	JMdict	o	
321	954648-585-0014	ゆみたろう	弓太郎	ゆみ-たらう	align	o	
322	954647-431-0019	ていかすぎ	綴化杉	ていくわすぎ	align	o	
323	954646-422-0044	しゅうわいざい	收賄罪	しうわい-ざい	L	o	
324	954647-236-0045	だきはなすすき	抱花薄	だき-はなすすき	align	o	
325	954645-285-0017	おくえし	奧繪師	おく-ゑし	align	o	
326	954647-006-0046	すかしすあお	透素襖	すかし-すあを	align	o	
327	954648-206-0011	ひときり	人切	ひと-きり	JMdict	o	
328	954645-310-0056	おおうた	大歌	おほ-うた	JMdict	o	
329	954647-438-0036	ちょうきょう	超境	てう-きゃう	align	o	
330	954646-385-0028	さら	新	さら	JMdict	o	
331	954647-425-0017	ついいん	追院	つゐ-ゐん	align	o	
332	954648-108-0019	はしづつ	箸筒	はし-づつ	JMdict	o	
333	954648-460-0031	みのr	實	みのる	L	o	
334	954648-287-0026	ふところがみ	懷紙	ふところがみ	L	o	
335	954646-546-0007	じゅしんらく	壽心樂	じゅしんらく	align	o	
336	954645-192-0016	うかく	羽客	うかく	align	o	
337	954647-591-0019	なしわり	梨割	なし-わり	align	o	
338	954647-352-0001	じゅうへい	重幣	ぢゅう-へい	align	o	
339	954648-321-0012	ひょうぐかみ	表具紙	へうぐ-かみ	align	o	
340	954646-501-0012	しょうがい	象外	しゃう-ぐわい	align	o	
341	954648-008-0001	にきゅうほう	二級法	にきふ-はふ	align	o	
342	954648-342-0019	ほうおん	鳳音	ほう-おん	align	o	
343	954645-285-0014	おかく	御畫	お-くわく	align	o	
344	954645-120-0005	いしがけこもん	石崖小紋	いしがけ-こもん	align	o	
345	954646-320-0029	さいがいほけん	災害保險	さいがい-ほけん	JMdict	o	
346	954647-330-0011	ちょうじゃがい	長者貝	ちゃうじゃがひ	JMdict	o	
347	954648-011-0030	にげだs	逃出	にげ-だす	JMdict	o	
348	954645-467-0086	かいろう	貝樓	かひ-ろう	L	o	
349	954648-651-0037	りゅうじんまき	龍神卷	りゅうじん-まき	align	o	
350	954648-696-0031	わりつぎ	割接	わりつぎ	JMdict	o	
351	954646-342-0001	そうとうかん	相當官	さうたう-くわん	align	o	
352	954648-159-0031	はんながもち	半長持	はん-ながもち	align	o	
353	954646-416-0008	しいしかい	市醫師會	し-いしくわい	align	o	
354	954646-567-0052	しょこうかい	初航海	しょ-かうかい	align	o	
355	954646-429-0003	しきしまの	敷島之	しきしま-の	align	o	
356	954646-466-0030	してんのびょう	四天鋲	してん-のびゃう	align	o	
357	954647-226-0046	とうゆみ	唐弓	たう-ゆみ	align	o	
358	954648-444-0048	みちのかみ	道神	みちの-かみ	align	o	
359	954645-321-0054	おおひろ	大廣	おほ-ひろ	L	o	
360	954645-136-0038	いちびと	市人	いち-びと	JMdict	o	
361	954645-427-0026	かどう	河道	かだう	JMdict	o	
362	954648-502-0015	めいれいげん	命令言	めいれい-げん	align	o	
363	954648-138-0049	はまにし	濱西	はまにし	align	o	
364	954648-201-0026	ひったくr	引手繰	ひっ-たくる	JMdict	o	
365	954647-382-0029	つがまつ	栂松	つが-まつ	align	o	
366	954648-192-0022	びしょう	美少	び-せう	align	o	
367	954647-389-0043	つきまわり	月廻	つき-まはり	align	o	
368	954645-121-0016	いしじぬり	石地塗	いしぢ-ぬり	align	o	
