no	id	skk_key	notation	reading	method	judgment	note
215	954646-395-0018	さんかたんそ	酸化炭素	さんくわ-たんそ	JMdict	o	
216	954648-276-0005	ふたつぐり	二繰	ふたつ-ぐり	align	o	
217	954646-429-0054	しきねんさい	式年祭	しきねん-さい	L	o	
218	954645-060-0035	あわじむすび	淡路結	あはぢ-むすび	JMdict	o	
219	954645-325-0055	おぼろこぶ	朧昆布	おぼろ-こぶ	JMdict	o	
220	954647-545-0022	ともえすぎ	巴杉	ともゑ-すぎ	align	o	
221	954647-048-0013	せいごうひら	精好平	せいがうひら	align	o	
222	954647-280-0033	たむかい	手向	たむかひ	JMdict	o	
223	954648-510-0022	めずらどり	珍鳥	めづら-どり	align	o	
224	954647-396-0083	つけものおけ	漬物桶	つけもの-をけ	align	o	
225	954645-141-0029	いっきんぞめ	一斤染	いっきん-ぞめ	JMdict	o	
226	954646-302-0034	こy	越	こゆ	L	o	
227	954647-585-0041	なぐりがい	毆買	なぐり-がひ	align	o	
228	954647-201-0037	だいじょうらく	大定樂	だいぢゃう-らく	align	o	
229	954645-397-0038	がくどう	樂堂	がくだう	L	o	
230	954648-592-0062	よこざま	橫方	よこ-ざま	L	o	
231	954647-424-0010	ついこう	椎孔	つゐ-こう	align	o	
232	954648-568-0028	やなぎ	柳	やなぎ	L	o	
233	954647-026-0001	すべおさ	總長	すべ-をさ	align	o	
234	954645-526-0060	かんべしょちょう	神部署長	かんべしょちゃう	align	o	
235	954646-101-0030	かんさつりょく	觀察力	くわんさつ-りょく	L	o	
236	954647-374-0009	じんろう	塵勞	ぢん-らう	L	o	
237	954645-521-0015	かんせつしぜい	間接市税	かんせつしぜい	align	o	
238	954647-255-0001	たちもの	裁物	たち-もの	L	o	
239	954647-232-0004	たかの	鷹野	たかの	L	o	
240	954645-512-0031	かん	巫	かん	align	o	
241	954648-099-0034	はくはん	白飯	はく-はん	L	o	
242	954648-096-0029	はくし	白髭	はくし	align	o	
243	954645-043-0020	あしま	葦間	あし-ま	align	o	
244	954647-266-0023	たぬまがけ	田沼懸	たぬま-がけ	align	o	
245	954647-395-0010	つくえもの	机物	つくゑもの	align	o	
246	954647-580-0032	なかr	勿	なかれ	L	o	
247	954648-493-0023	むやみ	無闇	む-やみ	L	o	
248	954645-406-0061	かけむしゃ	懸武者	かけ-むしゃ	align	o	
249	954645-360-0019	かいほんしでん	戒本師田	かいほんし-でん	align	o	
250	954646-253-0014	こしおれうた	腰折歌	こしをれ-うた	align	o	
251	954645-177-0038	いやいとこ	彌從兄弟	いや-いとこ	L	o	
252	954647-444-0038	じょうやくけん	條約權	でうやく-けん	align	o	
253	954647-302-0035	ちゅうじきさい	晝食菜	ちうじきさい	align	o	
254	954648-593-0014	よこじま	橫縞	よこ-じま	L	o	
255	954648-226-0036	ひやざけ	冷酒	ひや-ざけ	L	o	
256	954648-286-0043	ふとうごう	不等號	ふどうがら	L	o	
257	954645-593-0010	きょうり	鏡裏	きゃう-り	JMdict	o	
258	954647-354-0012	ちゅうえ	中衞	ちゅう-ゑ	align	o	
259	954647-107-0021	せめ	責	せめ	L	o	
260	954645-273-0036	えんぼうし	烏帽子	えん-ぼうし	align	o	
261	954647-292-0023	だんしゃ	團社	だん-しゃ	align	o	
262	954647-219-0040	とうざやき	當座燒	たうざ-やき	align	o	
263	954648-136-0001	はえとりのき	蠅取木	はへとりのき	align	o	
264	954648-264-0042	ふそうは	扶桑派	ふさう-は	align	o	
265	954646-554-0026	しゅろのまる	棕櫚丸	しゅろ-のまる	align	o	
266	954645-021-0050	あかばり	垢張	あか-ばり	align	o	
267	954645-553-0025	きざみども	刻供	きざみ-ども	align	o	
